Region,Country,Division,sku_count,ufn_avg,basic_assets_avg,spec_summary_avg,faq_avg,title_avg,description_avg,h1_avg,canonical_avg,alt_feature_avg,alt_front_avg,total_score_pct
LATAM,Mexico,RAC,32,10.0,9.0,10.0,10.0,9.6875,10.0,10.0,10.0,9.375,10.0,9.80625
LATAM,Panama,RAC,6,10.0,9.333333,1.666667,10.0,5.0,10.0,10.0,10.0,10.0,1.666667,7.766667
LATAM,Peru,RAC,6,10.0,10.0,0.0,0.0,6.666667,10.0,10.0,10.0,10.0,0.0,6.666667
MEA,Algeria,RAC,3,0.0,10.0,0.0,10.0,10.0,10.0,10.0,10.0,0.0,10.0,7.0
MEA,Egypt,RAC,16,10.0,8.0,0.0,10.0,8.75,8.75,10.0,10.0,10.0,1.875,7.7375
MEA,Israel,RAC,4,10.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,9.0
MEA,Jordan,RAC,28,9.642857,10.0,8.928571,10.0,10.0,10.0,10.0,9.642857,10.0,10.0,9.821429
MEA,Kenya,RAC,6,10.0,10.0,3.333333,6.666667,3.333333,10.0,10.0,8.333333,1.666667,10.0,7.333333
MEA,Morocco,RAC,12,10.0,10.0,0.0,3.333333,0.0,4.166667,10.0,10.0,9.166667,10.0,6.666667
MEA,Nigeria,RAC,7,10.0,10.0,0.0,10.0,8.571429,10.0,10.0,10.0,5.714286,10.0,8.428571
MEA,SaudiArabia,RAC,37,8.918919,10.0,9.459459,10.0,10.0,9.459459,9.459459,10.0,10.0,8.918919,9.621622
MEA,SouthAfrica,RAC,11,0.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,6.0
MEA,Turkey,RAC,1,0.0,10.0,10.0,10.0,0.0,10.0,10.0,10.0,10.0,0.0,7.0
MEA,UAE,RAC,27,9.62963,10.0,0.0,3.703704,10.0,10.0,10.0,10.0,7.777778,10.0,8.111111
